elapsed_s,event,body_x,body_y,dist,tags_used
12.756,lost,,,,
12.807,lost,,,,
12.824,lost,,,,
12.839,lost,,,,
12.856,lost,,,,
12.869,lost,,,,
12.884,lost,,,,
12.900,lost,,,,
12.915,lost,,,,
12.927,lost,,,,
12.941,lost,,,,
12.956,lost,,,,
12.968,lost,,,,
12.980,lost,,,,
12.994,lost,,,,
13.007,lost,,,,
13.020,lost,,,,
13.032,lost,,,,
13.046,lost,,,,
13.059,lost,,,,
13.072,lost,,,,
13.086,lost,,,,
13.100,lost,,,,
13.112,lost,,,,
13.122,lost,,,,
13.135,lost,,,,
13.149,lost,,,,
13.162,lost,,,,
13.174,lost,,,,
13.188,lost,,,,
13.202,lost,,,,
13.215,lost,,,,
13.228,lost,,,,
13.240,lost,,,,
13.255,lost,,,,
13.271,lost,,,,
13.286,lost,,,,
13.298,lost,,,,
13.312,lost,,,,
13.326,lost,,,,
13.338,lost,,,,
13.351,lost,,,,
13.366,lost,,,,
13.378,lost,,,,
13.390,lost,,,,
13.403,lost,,,,
13.418,lost,,,,
13.431,lost,,,,
13.443,lost,,,,
13.457,lost,,,,
13.472,lost,,,,
13.488,lost,,,,
13.504,lost,,,,
13.521,lost,,,,
13.537,lost,,,,
13.552,lost,,,,
13.568,lost,,,,
13.582,lost,,,,
13.598,lost,,,,
13.610,lost,,,,
13.624,lost,,,,
13.639,lost,,,,
13.654,lost,,,,
13.666,lost,,,,
13.680,lost,,,,
13.692,lost,,,,
13.704,lost,,,,
13.717,lost,,,,
13.731,lost,,,,
13.743,lost,,,,
13.755,lost,,,,
13.767,lost,,,,
13.780,lost,,,,
13.797,lost,,,,
13.812,lost,,,,
13.828,lost,,,,
13.843,lost,,,,
13.856,lost,,,,
13.868,lost,,,,
13.882,lost,,,,
13.896,lost,,,,
13.909,lost,,,,
13.923,lost,,,,
13.938,lost,,,,
13.951,lost,,,,
13.964,lost,,,,
13.980,lost,,,,
13.992,lost,,,,
14.006,lost,,,,
14.018,lost,,,,
14.033,lost,,,,
14.045,lost,,,,
14.057,lost,,,,
14.071,lost,,,,
14.088,lost,,,,
14.101,lost,,,,
14.112,lost,,,,
14.126,lost,,,,
14.141,lost,,,,
14.155,lost,,,,
14.169,lost,,,,
14.184,lost,,,,
14.200,lost,,,,
14.214,lost,,,,
14.227,lost,,,,
14.240,lost,,,,
14.255,lost,,,,
14.268,lost,,,,
14.281,lost,,,,
14.294,lost,,,,
14.307,lost,,,,
14.321,lost,,,,
14.334,lost,,,,
14.347,lost,,,,
14.360,lost,,,,
14.373,lost,,,,
14.386,lost,,,,
14.402,lost,,,,
14.415,lost,,,,
14.427,lost,,,,
14.441,lost,,,,
14.455,lost,,,,
14.468,lost,,,,
14.479,lost,,,,
14.490,lost,,,,
14.502,lost,,,,
14.518,lost,,,,
14.533,lost,,,,
14.547,lost,,,,
14.561,lost,,,,
14.573,lost,,,,
14.586,lost,,,,
14.602,lost,,,,
14.614,lost,,,,
14.627,lost,,,,
14.642,lost,,,,
14.657,lost,,,,
14.668,lost,,,,
14.682,lost,,,,
14.695,lost,,,,
14.709,lost,,,,
14.721,lost,,,,
14.737,lost,,,,
14.751,lost,,,,
14.764,lost,,,,
14.777,lost,,,,
14.791,lost,,,,
14.807,lost,,,,
14.821,lost,,,,
14.834,lost,,,,
14.848,lost,,,,
14.860,lost,,,,
14.873,lost,,,,
14.887,lost,,,,
14.901,lost,,,,
14.914,lost,,,,
14.929,lost,,,,
14.943,lost,,,,
14.956,lost,,,,
14.968,lost,,,,
14.981,lost,,,,
14.994,lost,,,,
15.009,lost,,,,
15.022,lost,,,,
15.033,lost,,,,
15.047,lost,,,,
15.060,lost,,,,
15.075,lost,,,,
15.089,lost,,,,
15.102,lost,,,,
15.115,lost,,,,
15.129,lost,,,,
15.142,lost,,,,
15.158,lost,,,,
15.171,lost,,,,
15.185,lost,,,,
15.199,lost,,,,
15.212,lost,,,,
15.225,lost,,,,
15.238,lost,,,,
15.252,lost,,,,
15.267,lost,,,,
15.282,lost,,,,
15.295,lost,,,,
15.309,lost,,,,
15.323,lost,,,,
15.336,lost,,,,
15.349,lost,,,,
15.364,lost,,,,
15.376,lost,,,,
15.389,lost,,,,
15.402,lost,,,,
15.416,lost,,,,
15.429,lost,,,,
15.442,lost,,,,
15.456,lost,,,,
15.471,lost,,,,
15.487,lost,,,,
15.500,lost,,,,
15.515,lost,,,,
15.528,lost,,,,
15.541,lost,,,,
15.555,lost,,,,
15.569,lost,,,,
15.584,lost,,,,
15.599,lost,,,,
15.612,lost,,,,
15.626,lost,,,,
15.639,lost,,,,
15.650,lost,,,,
15.662,lost,,,,
15.674,lost,,,,
15.688,lost,,,,
15.701,lost,,,,
15.713,lost,,,,
15.727,lost,,,,
15.740,lost,,,,
15.752,lost,,,,
15.765,lost,,,,
15.779,lost,,,,
15.793,lost,,,,
15.806,lost,,,,
15.818,lost,,,,
15.831,lost,,,,
15.841,lost,,,,
15.857,lost,,,,
15.869,lost,,,,
15.883,lost,,,,
15.898,lost,,,,
15.911,lost,,,,
15.923,lost,,,,
15.935,lost,,,,
15.949,lost,,,,
15.961,lost,,,,
15.973,lost,,,,
15.984,lost,,,,
15.997,lost,,,,
16.011,lost,,,,
16.023,lost,,,,
16.038,lost,,,,
16.052,lost,,,,
16.068,lost,,,,
16.081,lost,,,,
16.094,lost,,,,
16.107,lost,,,,
16.120,lost,,,,
16.132,lost,,,,
16.142,lost,,,,
16.155,lost,,,,
16.169,lost,,,,
16.183,lost,,,,
16.194,lost,,,,
16.205,lost,,,,
16.217,lost,,,,
16.231,lost,,,,
16.242,lost,,,,
16.256,lost,,,,
16.269,lost,,,,
16.285,lost,,,,
16.297,lost,,,,
16.309,lost,,,,
16.321,lost,,,,
16.336,lost,,,,
16.347,lost,,,,
16.359,lost,,,,
16.371,lost,,,,
16.385,lost,,,,
16.400,lost,,,,
16.411,lost,,,,
16.424,lost,,,,
16.437,lost,,,,
16.449,lost,,,,
16.460,lost,,,,
16.472,lost,,,,
16.487,lost,,,,
16.503,lost,,,,
16.514,lost,,,,
16.526,lost,,,,
16.538,lost,,,,
16.552,lost,,,,
16.565,lost,,,,
16.575,lost,,,,
16.587,lost,,,,
16.600,lost,,,,
16.616,lost,,,,
16.627,lost,,,,
16.641,lost,,,,
16.654,lost,,,,
16.665,lost,,,,
16.676,lost,,,,
16.688,lost,,,,
16.702,lost,,,,
16.713,lost,,,,
16.725,lost,,,,
16.736,lost,,,,
16.752,lost,,,,
16.766,lost,,,,
16.776,lost,,,,
16.786,lost,,,,
16.798,lost,,,,
16.812,lost,,,,
16.825,lost,,,,
16.839,lost,,,,
16.851,lost,,,,
16.865,lost,,,,
16.876,lost,,,,
16.889,lost,,,,
16.903,lost,,,,
16.918,lost,,,,
16.929,lost,,,,
16.939,lost,,,,
16.951,lost,,,,
16.964,lost,,,,
16.976,lost,,,,
16.990,lost,,,,
17.001,lost,,,,
17.015,lost,,,,
17.028,lost,,,,
17.042,lost,,,,
17.056,lost,,,,
17.068,lost,,,,
17.081,lost,,,,
17.094,lost,,,,
17.105,lost,,,,
17.118,lost,,,,
17.131,lost,,,,
17.142,lost,,,,
17.154,lost,,,,
17.166,lost,,,,
17.182,lost,,,,
17.194,lost,,,,
17.205,lost,,,,
17.217,lost,,,,
17.227,lost,,,,
17.238,lost,,,,
17.253,lost,,,,
17.269,lost,,,,
17.281,lost,,,,
17.294,lost,,,,
17.306,lost,,,,
17.318,lost,,,,
17.331,lost,,,,
17.345,lost,,,,
17.356,lost,,,,
17.369,lost,,,,
17.381,lost,,,,
17.394,lost,,,,
17.407,lost,,,,
17.420,lost,,,,
17.432,lost,,,,
17.445,lost,,,,
17.460,lost,,,,
17.473,lost,,,,
17.484,lost,,,,
17.497,lost,,,,
17.510,lost,,,,
17.523,lost,,,,
17.534,lost,,,,
17.546,lost,,,,
17.558,lost,,,,
17.571,lost,,,,
17.583,lost,,,,
17.594,lost,,,,
17.607,lost,,,,
17.619,lost,,,,
17.632,lost,,,,
17.646,lost,,,,
17.660,lost,,,,
17.673,lost,,,,
17.684,lost,,,,
17.696,lost,,,,
17.708,lost,,,,
17.722,lost,,,,
17.735,lost,,,,
17.747,lost,,,,
17.760,lost,,,,
17.774,lost,,,,
17.787,lost,,,,
17.799,lost,,,,
17.812,lost,,,,
17.827,lost,,,,
17.838,lost,,,,
17.851,lost,,,,
17.865,lost,,,,
17.880,lost,,,,
17.893,lost,,,,
17.905,lost,,,,
17.918,lost,,,,
17.931,lost,,,,
17.943,lost,,,,
17.955,lost,,,,
17.968,lost,,,,
17.979,lost,,,,
17.991,lost,,,,
18.003,lost,,,,
18.015,lost,,,,
18.027,lost,,,,
18.039,lost,,,,
18.052,lost,,,,
18.063,lost,,,,
18.076,lost,,,,
18.087,lost,,,,
18.099,lost,,,,
18.112,lost,,,,
18.125,lost,,,,
18.138,lost,,,,
18.150,lost,,,,
18.163,lost,,,,
18.177,lost,,,,
18.191,lost,,,,
18.202,lost,,,,
18.214,lost,,,,
18.226,lost,,,,
18.239,lost,,,,
18.253,lost,,,,
18.265,lost,,,,
18.276,lost,,,,
18.287,lost,,,,
18.301,lost,,,,
18.314,lost,,,,
18.325,lost,,,,
18.338,lost,,,,
18.352,lost,,,,
18.363,lost,,,,
18.374,lost,,,,
18.388,lost,,,,
18.403,lost,,,,
18.415,lost,,,,
18.426,lost,,,,
18.439,lost,,,,
18.455,lost,,,,
18.466,lost,,,,
18.478,lost,,,,
18.490,lost,,,,
18.505,lost,,,,
18.519,lost,,,,
18.529,lost,,,,
18.542,lost,,,,
18.555,lost,,,,
18.568,lost,,,,
18.579,lost,,,,
18.592,lost,,,,
18.607,lost,,,,
18.620,lost,,,,
18.633,lost,,,,
18.646,lost,,,,
18.658,lost,,,,
18.671,lost,,,,
18.684,lost,,,,
18.698,lost,,,,
18.711,lost,,,,
18.723,lost,,,,
18.735,lost,,,,
18.750,lost,,,,
18.765,lost,,,,
18.776,lost,,,,
18.788,lost,,,,
18.801,lost,,,,
18.815,lost,,,,
18.827,lost,,,,
18.838,lost,,,,
18.852,lost,,,,
18.866,lost,,,,
18.877,lost,,,,
18.889,lost,,,,
18.902,lost,,,,
18.916,lost,,,,
18.927,lost,,,,
18.938,lost,,,,
18.950,lost,,,,
18.962,lost,,,,
18.974,lost,,,,
18.986,lost,,,,
18.998,lost,,,,
19.011,lost,,,,
19.023,lost,,,,
19.035,lost,,,,
19.046,lost,,,,
19.058,lost,,,,
19.072,lost,,,,
19.085,lost,,,,
19.097,lost,,,,
19.112,lost,,,,
19.123,lost,,,,
19.134,lost,,,,
19.148,lost,,,,
19.163,lost,,,,
19.176,lost,,,,
19.191,lost,,,,
19.203,lost,,,,
19.216,lost,,,,
19.230,lost,,,,
19.241,lost,,,,
19.253,lost,,,,
19.265,lost,,,,
19.278,lost,,,,
19.291,lost,,,,
19.301,lost,,,,
19.314,lost,,,,
19.325,lost,,,,
19.338,lost,,,,
19.351,lost,,,,
19.364,lost,,,,
19.376,lost,,,,
19.389,lost,,,,
19.403,lost,,,,
19.415,lost,,,,
19.428,lost,,,,
19.441,lost,,,,
19.455,lost,,,,
19.466,lost,,,,
19.477,lost,,,,
19.489,lost,,,,
19.503,lost,,,,
19.515,lost,,,,
19.527,lost,,,,
